Year;Microred;District;day_sympoms_appeared;month_sympoms_appeared;year_sympoms_appeared;complaint_day;complaint_month;complaint_year;brain_sampling_shipping_day;brain_sampling_shipping_month;brain_sampling_shipping_year;Confirmation_day;Confirmation_month;Confirmation_year;day_containent_started;month_containent_started;year_containent_started;species
2015;ALTO SELVA ALEGRE;ALTO SELVA ALEGRE;13;3;2015;16;3;2015;17;3;2015;20;3;2015;20;3;2015;DOG
2015;EDIFICADORES MISTI;MIRAFLORES;22;3;2015;22;3;2015;25;3;2015;27;3;2015;;;;DOG
2015;MARIANO MELGAR;MARIANO MELGAR;25;3;2015;29;3;2015;30;3;2015;6;4;2015;;;;DOG
2015;MARIANO MELGAR;AREQUIPA;30;3;2015;30;3;2015;31;3;2015;6;4;2015;;;;DOG
2015;MARIANO MELGAR;MARIANO MELGAR;30;3;2015;31;3;2015;31;3;2015;6;4;2015;;;;DOG
2015;ALTO SELVA ALEGRE;ALTO SELVA ALEGRE;3;4;2015;;;;8;4;2015;10;4;2015;;;;DOG
2015;EDIFICADORES MISTI;MIRAFLORES;8;4;2015;;;;9;4;2015;10;4;2015;10;4;2015;DOG
2015;SOCABAYA;SOCABAYA;1;5;2015;2;5;2015;3;5;2015;4;5;2015;4;5;2015;DOG
2015;MARIANO MELGAR;MARIANO MELGAR;13;7;2015;16;7;2015;17;7;2015;20;7;2015;;;;DOG
2015;GENERALISIMO SAN MARTIN;MARIANO MELGAR;3;8;2015;;;;7;8;2015;10;8;2015;;;;DOG
2015;15 DE AGOSTO;PAUCARPATA;12;8;2015;13;8;2015;14;8;2015;14;8;2015;;;;DOG
2015;MARIANO MELGAR;AREQUIPA;15;8;2015;;;;18;8;2015;19;8;2015;;;;DOG
2015;GENERALISIMO SAN MARTIN;MARIANO MELGAR;7;9;2015;;;;7;9;2015;8;9;2015;8;9;2015;DOG
2015;GENERALISIMO SAN MARTIN;MARIANO MELGAR;;;;;;;28;9;2015;28;9;2015;28;9;2015;DOG
2015;GENERALISIMO SAN MARTIN;MARIANO MELGAR;;;;;;;14;10;2015;16;10;2015;15;10;2015;DOG
2015;MARIANO MELGAR;MARIANO MELGAR;10;11;2015;13;11;2015;13;11;2015;23;12;2015;;;;DOG
2015;MARIANO MELGAR;MARIANO MELGAR;13;11;2015;17;11;2015;18;11;2015;20;11;2015;;;;DOG
2015;GENERALISIMO SAN MARTIN;MARIANO MELGAR;;;;;;;26;11;2015;3;12;2015;4;12;2015;DOG
2015;GENERALISIMO SAN MARTIN;MARIANO MELGAR;;;;;;;3;12;2015;31;12;2015;4;12;2015;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;27;1;2016;1;2;2016;2;2;2016;3;2;2016;3;2;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;;;;4;2;2016;5;2;2016;5;2;2016;5;2;2016;DOG
2016;GENERALISIMO SAN MARTIN;MARIANO MELGAR;7;2;2016;10;2;2016;10;2;2016;11;2;2016;;;;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;16;2;2016;16;2;2016;17;2;2016;18;2;2016;17;2;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;17;2;2016;17;2;2016;17;2;2016;18;2;2016;18;2;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;4;4;2016;;;;5;4;2016;6;4;2016;7;4;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;;;;;;;18;4;2016;19;4;2016;;;;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;;;;;;;19;4;2016;19;4;2016;;;;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;21;4;2016;25;4;2016;26;4;2016;26;4;2016;26;4;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;;;;;;;25;5;2016;26;5;2016;26;4;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;30;6;2016;2;7;2016;5;7;2016;6;7;2016;6;7;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;20;6;2016;27;6;2016;5;7;2016;6;7;2016;6;7;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;9;7;2016;11;7;2016;11;7;2016;12;7;2016;12;7;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;13;7;2016;18;7;2016;18;7;2016;19;7;2016;20;7;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;5;9;2016;5;9;2016;6;9;2016;7;9;2016;8;9;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;15;9;2016;15;9;2016;19;9;2016;19;9;2016;19;9;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;26;9;2016;26;9;2016;26;9;2016;31;10;2016;1;11;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;25;9;2016;26;9;2016;26;9;2016;31;10;2016;1;11;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;24;9;2016;27;9;2016;28;9;2016;29;9;2016;29;9;2016;DOG
2016;JLBYR;JLBYR;26;9;2016;1;10;2016;3;10;2016;3;10;2016;3;10;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;1;10;2016;2;10;2016;3;10;2016;3;10;2016;2;10;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;7;10;2016;10;10;2016;11;10;2016;11;10;2016;12;10;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;12;10;2016;14;10;2016;14;10;2016;17;10;2016;17;10;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;12;10;2016;14;10;2016;14;10;2016;17;10;2016;17;10;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;15;10;2016;15;10;2016;17;10;2016;18;10;2016;18;10;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;13;10;2016;26;10;2016;27;10;2016;28;10;2016;28;10;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;3;11;2016;5;11;2016;5;11;2016;7;11;2016;8;11;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;17;11;2016;17;11;2016;17;11;2016;18;11;2016;19;11;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;7;12;2016;8;12;2016;9;12;2016;12;12;2016;11;12;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;7;12;2016;11;12;2016;12;12;2016;12;12;2016;11;12;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;13;12;2016;13;12;2016;13;12;2016;15;12;2016;13;12;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;13;12;2016;14;12;2016;14;12;2016;15;12;2016;16;12;2016;DOG
2016;MARITZA CAMPOS;CERRO COLORADO;19;12;2016;19;12;2016;21;12;2016;22;12;2016;23;12;2016;DOG
2017;JAVIER LLOSA;HUNTER;;;;;;;3;1;2017;3;1;2017;;;;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;;;;4;1;2017;4;1;2017;5;1;2017;6;1;2017;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;5;1;2017;6;1;2017;6;1;2017;9;1;2017;10;1;2017;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;15;1;2017;17;1;2017;17;1;2017;18;1;2017;19;1;2017;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;28;1;2017;1;2;2017;1;2;2017;1;2;2017;3;2;2017;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;16;2;2017;16;2;2017;16;2;2017;17;2;2017;17;2;2017;DOG
2017;CIUDAD DE DIOS;YURA;18;2;2017;27;2;2017;2;3;2017;3;3;2017;3;3;2017;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;17;3;2017;24;3;2017;27;3;2017;27;3;2017;;;;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;7;4;2017;9;4;2017;9;4;2017;11;4;2017;;;;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;9;4;2017;10;4;2017;10;4;2017;11;4;2017;;;;DOG
2017;BUENOS AIRES;CAYMA;13;4;2017;15;4;2017;17;4;2017;18;4;2017;19;4;2017;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;12;6;2017;14;6;2017;14;6;2017;15;6;2017;15;6;2017;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;18;6;2017;20;6;2017;20;6;2017;21;6;2017;21;6;2017;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;22;5;2017;22;5;2017;22;5;2017;21;6;2017;22;6;2017;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;17;6;2017;22;6;2017;22;6;2017;8;7;2017;;;;DOG
2017;CIUDAD DE DIOS;YURA;30;6;2017;2;7;2017;3;7;2017;3;7;2017;3;7;2017;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;15;7;2017;18;7;2017;18;7;2017;19;7;2017;20;7;2017;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;29;7;2017;31;7;2017;31;7;2017;3;8;2017;1;8;2017;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;13;8;2017;16;8;2017;16;8;2017;18;8;2017;;;;DOG
2017;MARITZA CAMPOS;CERRO COLORADO;14;9;2017;17;9;2017;18;9;2017;18;9;2017;19;9;2017;DOG
