Distrito;Microred;Red;lat;long
Alto Selva Alegre;Alto Selva Alegre;Arequipa;-16.36625803;-71.5216584
Socabaya;Socabaya;Arequipa;-16.46337346;-71.53575395
Characato;Characato;Arequipa;-16.48065812;-71.48293594
Paucarpata;15 de Agosto;Arequipa;-16.41037979;-71.48962709
Paucarpata;Ampliacion Paucarpata;Arequipa;-16.4321086;-71.50189715
Paucarpata;Ciudad Blanca;Arequipa;-16.42156432;-71.47381116
Yanahuara;Yanahuara;Arequipa;-16.41161;-71.56128382
Cerro Colorado;Cerro Colorado;Arequipa;-16.37706774;-71.56557821
Cerro Colorado;Mariscal Castilla;Arequipa;-16.39725153;-71.58349072
Cerro Colorado;Maritza Campos;Arequipa;-16.33888732;-71.58968028
Mariano Melgar;Mariano Melgar;Arequipa;-16.40589611;-71.51433396
Mariano Melgar;Generalisimo San Martin;Arequipa;-16.39207327;-71.48582002
Jose Luis Bustamante;Victor Raul Hinojosa;Arequipa;-16.42939343;-71.52581273
Miraflores;Edificadores Misti;Arequipa;-16.37953413;-71.50431169
Yura;Ciudad de Dios;Arequipa;-16.30308607;-71.63677443
Cayma;Francisco Bolognesi;Arequipa;-16.34912047;-71.54111645
Cayma;Buenos Aires;Arequipa;-16.31585109;-71.53692884
Jacobo Hunter;Javier Llosa;Arequipa;-16.44688467;-71.560129
Tiabaya;Tiabaya;Arequipa;-16.44428258;-71.60664501
Pedregal;Pedregal;Caylloma;-16.32886847;-72.18947998
